site,site_id,x_m,y_m,z_m,fra_offset,fra_elev_sign
ALMA,A,2225061.8731,-5440061.9534,-2481682.0838,0,0
APEX,X,2225039.5297,-5441197.6292,-2479303.3597,0,1
CARMA,,-2397378.568,-4482048.670,3843513.202,0,0
JCMT,J,-5464584.676,-2493001.170,2150653.982,0,0
LMT,L,-768715.632,-5988507.072,2063354.852,0,-1
PICO,P,5088967.9000,-301681.6000,3825015.8000,0,-1
SMA,,-5464555.493,-2492927.989,2150797.176,45,-1
SMAR,R,-5464555.493,-2492927.989,2150797.176,45,-1
SMAP,S,-5464555.493,-2492927.989,2150797.176,45,-1
SMT,Z,-1828796.2000,-5054406.8000,3427865.2000,0,1
SPT,T,0.01,0.01,-6359609.7,0,0
